zonas,areas_quartos,enderecos,precos
norte,58 m² construídos2 quartos,"Vila Primavera, São Paulo Zona Norte, São Paulo",1.200
norte,186 m² construídos3 quartos,"Jardim São Paulo, São Paulo Zona Norte, São Paulo",3.100
norte,80 m² construídos3 quartos,"Vila Primavera, São Paulo Zona Norte, São Paulo",3.300
norte,50 m² construídos2 quartos,"Mandaqui, São Paulo Zona Norte, São Paulo",1.550
norte,56 m² construídos2 quartos,"Vila Primavera, São Paulo Zona Norte, São Paulo",1.200
norte,80 m² construídos2 quartos,"Avenida Nova Cantareira,
                1484, Tucuruvi, São Paulo Zona Norte, São Paulo",2.400
norte,60 m² construídos2 quartos,"Santana, São Paulo Zona Norte, São Paulo",1.350
norte,35 m² construídos1 quarto,"Antonio Vieira 209, Casa Verde Alta, São Paulo Zona Norte, São Paulo",500
norte,60 m² construídos2 quartos,"Rua Franklin Do Amaral  1051, Cachoeirinha, São Paulo Zona Norte, São Paulo",1.690
norte,55 m² construídos2 quartos,"Rua Conselheiro Moreira De Barros 3600, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.570
norte,53 m² construídos1 quarto,"Rua Eli - Vila Maria Baixa, São Paulo - Sp, Brasil, Vila Maria, São Paulo Zona Norte, São Paulo",900
norte,60 m² construídos2 quartos,"Ricardo Franco  51, Vila Roque, São Paulo Zona Norte, São Paulo",1.550
norte,30 m² construídos1 quarto,"Paranabi  236, Tucuruvi, São Paulo Zona Norte, São Paulo",1.100
norte,68 m² construídos2 quartos,"Barro Branco, São Paulo Zona Norte, São Paulo",1.500
norte,62 m² construídos2 quartos,"R Eduardo, Vila Albertina, São Paulo Zona Norte, São Paulo",1.700
norte,74 m² construídos2 quartos,"R Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",1.600
norte,76 m² construídos2 quartos,"Santana - São Paulo/sp, Santana, São Paulo Zona Norte, São Paulo",3.200
norte,70 m² construídos2 quartos,"Av General Ataliba Leonel, Santana, São Paulo Zona Norte, São Paulo",1.790
norte,45 m² construídos2 quartos,"Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",950
norte,27 m² construídos1 quarto,"Rua Engenheiro Ciampiti, Vila Leonor, São Paulo Zona Norte, São Paulo",1.150
norte,90 m² totais3 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",2.500
norte,50 m² totais2 quartos,"Av. Major Dantas Cortez, Vila Gustavo, São Paulo Zona Norte, São Paulo",1.900
norte,150 m² totais2 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",3.900
