aluguel,area_quarto,zona
1.800,129 m² construídos3 quartos,norte
1.390,62 m² construídos2 quartos,norte
2.200,58 m² construídos2 quartos,norte
1.100,48 m² construídos2 quartos,norte
2.000,109 m² construídos3 quartos,norte
1.300,78 m² construídos2 quartos,norte
1.300,62 m² construídos2 quartos,norte
1.200,70 m² construídos2 quartos,norte
4.950,232 m² construídos4 quartos,norte
1.600,66 m² construídos2 quartos,norte
1.200,55 m² construídos1 quarto,norte
1.250,78 m² construídos2 quartos,norte
1.200,53 m² construídos2 quartos,norte
1.700,90 m² construídos2 quartos,norte
1.350,65 m² construídos2 quartos,norte
3.000,140 m² construídos3 quartos,norte
2.000,60 m² construídos2 quartos,norte
1.000,41 m² construídos1 quarto,norte
1.200,73 m² construídos2 quartos,norte
2.850,78 m² construídos2 quartos,norte
1.700,70 m² construídos2 quartos,norte
3.000,143 m² construídos3 quartos,norte
600,50 m² construídos2 quartos,norte
1.650,90 m² construídos3 quartos,norte
1.300,75 m² construídos3 quartos,norte
1.476,70 m² construídos3 quartos,norte
950,65 m² construídos3 quartos,norte
1.800,79 m² construídos2 quartos,norte
800,60 m² construídos2 quartos,norte
800,60 m² construídos2 quartos,norte
650,37 m² construídos1 quarto,norte
600,32 m² construídos1 quarto,norte
1.000,59 m² construídos2 quartos,norte
771,50 m² construídos2 quartos,norte
1.500,58 m² construídos2 quartos,norte
1.000,55 m² construídos2 quartos,norte
1.100,45 m² construídos1 quarto,norte
1.780,75 m² construídos2 quartos,norte
1.370,77 m² construídos3 quartos,norte
1.500,48 m² construídos1 quarto,norte
1.159,75 m² construídos3 quartos,norte
1.570,65 m² construídos3 quartos,norte
1.200,60 m² construídos2 quartos,norte
2.654,142 m² construídos3 quartos,norte
500,65 m² construídos1 quarto,norte
2.600,162 m² construídos3 quartos,norte
1.500,56 m² construídos2 quartos,norte
1.300,66 m² construídos3 quartos,norte
3.000,118 m² construídos3 quartos,norte
1.500,85 m² construídos3 quartos,norte
656,55 m² construídos2 quartos,norte
1.550,85 m² construídos2 quartos,norte
800,62 m² construídos2 quartos,norte
4.000,124 m² construídos4 quartos,norte
1.950,70 m² construídos2 quartos,norte
1.750,70 m² construídos3 quartos,norte
2.000,70 m² construídos2 quartos,norte
2.413,90 m² construídos2 quartos,norte
2.000,100 m² construídos3 quartos,norte
1.900,180 m² construídos3 quartos,norte
1.100,59 m² construídos1 quarto,norte
1.800,44 m² construídos2 quartos,norte
1.200,75 m² construídos2 quartos,norte
1.545,65 m² construídos2 quartos,norte
1.750,74 m² construídos2 quartos,norte
2.100,90 m² construídos4 quartos,norte
900,50 m² construídos2 quartos,norte
1.950,120 m² construídos3 quartos,norte
1.200,150 m² construídos2 quartos,norte
2.000,78 m² construídos2 quartos,norte
1.650,60 m² construídos2 quartos,norte
1.200,88 m² construídos3 quartos,norte
1.500,70 m² construídos2 quartos,norte
1.716,78 m² construídos2 quartos,norte
672,50 m² construídos1 quarto,norte
1.200,140 m² construídos2 quartos,norte
1.300,85 m² construídos2 quartos,norte
1.200,60 m² construídos2 quartos,norte
1.400,60 m² construídos2 quartos,norte
850,67 m² construídos3 quartos,norte
880,45 m² construídos1 quarto,norte
850,53 m² construídos2 quartos,norte
3.400,64 m² construídos2 quartos,norte
