zonas,enderecos,precos,area,quarto
norte,"Vila Primavera, São Paulo Zona Norte, São Paulo",1200,58.0,2.0
norte,"Jardim São Paulo, São Paulo Zona Norte, São Paulo",3100,186.0,3.0
norte,"Vila Primavera, São Paulo Zona Norte, São Paulo",3300,80.0,3.0
norte,"Mandaqui, São Paulo Zona Norte, São Paulo",1550,50.0,2.0
norte,"Vila Primavera, São Paulo Zona Norte, São Paulo",1200,56.0,2.0
norte,"Avenida Nova Cantareira,
                1484, Tucuruvi, São Paulo Zona Norte, São Paulo",2400,80.0,2.0
norte,"Santana, São Paulo Zona Norte, São Paulo",1350,60.0,2.0
norte,"Antonio Vieira 209, Casa Verde Alta, São Paulo Zona Norte, São Paulo",500,35.0,1.0
norte,"Rua Franklin Do Amaral  1051, Cachoeirinha, São Paulo Zona Norte, São Paulo",1690,60.0,2.0
norte,"Rua Conselheiro Moreira De Barros 3600, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1570,55.0,2.0
norte,"Rua Eli - Vila Maria Baixa, São Paulo - Sp, Brasil, Vila Maria, São Paulo Zona Norte, São Paulo",900,53.0,1.0
norte,"Ricardo Franco  51, Vila Roque, São Paulo Zona Norte, São Paulo",1550,60.0,2.0
norte,"Paranabi  236, Tucuruvi, São Paulo Zona Norte, São Paulo",1100,30.0,1.0
norte,"Barro Branco, São Paulo Zona Norte, São Paulo",1500,68.0,2.0
norte,"R Eduardo, Vila Albertina, São Paulo Zona Norte, São Paulo",1700,62.0,2.0
norte,"R Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",1600,74.0,2.0
norte,"Santana - São Paulo/sp, Santana, São Paulo Zona Norte, São Paulo",3200,76.0,2.0
norte,"Av General Ataliba Leonel, Santana, São Paulo Zona Norte, São Paulo",1790,70.0,2.0
norte,"Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",950,45.0,2.0
norte,"Rua Engenheiro Ciampiti, Vila Leonor, São Paulo Zona Norte, São Paulo",1150,27.0,1.0
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",2500,90.0,
norte,"Av. Major Dantas Cortez, Vila Gustavo, São Paulo Zona Norte, São Paulo",1900,50.0,
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",3900,150.0,
norte,"Avenida Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",3900,80.0,
norte,"Rua Rubiácea, Água Fria, São Paulo Zona Norte, São Paulo",3200,83.0,3.0
norte,"R Itaici, Santa Teresinha, São Paulo Zona Norte, São Paulo",1650,60.0,3.0
norte,"Rua Enótria, Vila Mazzei, São Paulo Zona Norte, São Paulo",2300,40.0,
