aluguel,quartos,endereco,area
1,  2   ,"Rua Santa Luísa, 167 - Maracanã, Rio de Janeiro - RJ",80
1,  2   ,"Rua Duque de Caxias, 34 - Vila Isabel, Rio de Janeiro - RJ",73
3,  3   ,"Avenida Rui Barbosa, 560 - Flamengo, Rio de Janeiro - RJ",100
1,  1   ,"Rua Conde de Baependi, 54 - Flamengo, Rio de Janeiro - RJ",31
900,  1   ,"Rua Santo Amaro, 381 - Santa Teresa, Rio de Janeiro - RJ",22
3,  3   ,"Rua Doutor Pálvaro da Silva, 33 - Itaipu, Niterói - RJ",200
2,  3   ,"Rua Pinheiro Machado, 70 - Laranjeiras, Rio de Janeiro - RJ",130
2,  1   ,"Rua Assis Bueno - Botafogo, Rio de Janeiro - RJ",45
3,  3   ,"Rua das Laranjeiras, 130 - Laranjeiras, Rio de Janeiro - RJ",100
1,  3   ,"Estrada Francisco da Cruz Nunes, 8366 - Itaipu, Niterói - RJ",115
5,  3   ,"Rua Negreiros Lobato, 23 - Lagoa, Rio de Janeiro - RJ",112
2,  2   ,"Rua Cândido Mendes, 236 - Glória, Rio de Janeiro - RJ",55
2,  3   ,"Rua José Higino - Tijuca, Rio de Janeiro - RJ",100
1,  2   ,"Rua Conde de Bonfim, 142 - Tijuca, Rio de Janeiro - RJ",66
2,  3   ,"Estrada Francisco da Cruz Nunes, 224 - Piratininga, Niterói - RJ",80
900,  2   ,"Rua Entremontes, 44 -  Praia da Bandeira, Rio de Janeiro - RJ",50
1,  3   ,"Rua Coimbra da Luz, Bloco 70 - Pilares, Rio de Janeiro - RJ",58
3,  3   ,"Rua Uruguai, 79 - Andaraí, Rio de Janeiro - RJ",150
1,  2   ,"Rua Ator Paulo Gustavo, 211 - Icaraí, Niterói - RJ",69
3,  3   ,"Rua Alberto de Campos, 65 - Ipanema, Rio de Janeiro - RJ",84
7,  --   ,"Avenida Rio Branco, 277 - Centro, Rio de Janeiro - RJ",180
1,  2   ,"Estrada Pau-ferro, 155 - Pechincha, Rio de Janeiro - RJ",65
4,  2   ,"Rua Marquês de São Vicente, 124 - Gávea, Rio de Janeiro - RJ",110
2,  1   ,"Rua General Ribeiro da Costa, 230 - Leme, Rio de Janeiro - RJ",60
1,  2   ,"Avenida Vinte e Dois de Maio, 5990 - Centro, Itaboraí - RJ",61
360,  --   ,"Rua México, 41 - Centro, Rio de Janeiro - RJ",70
2,  2   ,"Rua Barata Ribeiro, 672 - Copacabana, Rio de Janeiro - RJ",59
1,  2   ,"Rua Quito, 250 - Penha, Rio de Janeiro - RJ",55
1,  2   ,"Avenida Rui Barbosa, 506 - São Francisco, Niterói - RJ",60
5,  --   ,"Avenida das Américas, 6700 - Barra da Tijuca, Rio de Janeiro - RJ",42
5,  5   ,"Rua Presidente Nereu Ramos, 150 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ",220
1,  2   ,"Avenida Tenente-Coronel Muniz de Aragão, 898 - Anil, Rio de Janeiro - RJ",50
1,  2   ,"Rua Vilela Tavares, 216 - Méier, Rio de Janeiro - RJ",73
1,  2   ,"Rua Jorge Rudge, 77 - Vila Isabel, Rio de Janeiro - RJ",85
4,  1   ,"Avenida Ayrton Senna, 170 - Barra da Tijuca, Rio de Janeiro - RJ",60
890,  1   ,"Rua Riachuelo, 325 - Centro, Rio de Janeiro - RJ",46
1,  2   ,"Rua Santa Luísa, 167 - Maracanã, Rio de Janeiro - RJ",80
1,  2   ,"Rua Duque de Caxias, 34 - Vila Isabel, Rio de Janeiro - RJ",73
3,  3   ,"Avenida Rui Barbosa, 560 - Flamengo, Rio de Janeiro - RJ",100
1,  1   ,"Rua Conde de Baependi, 54 - Flamengo, Rio de Janeiro - RJ",31
900,  1   ,"Rua Santo Amaro, 381 - Santa Teresa, Rio de Janeiro - RJ",22
3,  3   ,"Rua Doutor Pálvaro da Silva, 33 - Itaipu, Niterói - RJ",200
