zonas,precos,area,quarto
leste,7.280008252884188,3.9318256327243257,2.0
norte,7.170888478512505,3.6888794541139363,1.0
norte,7.346655163176539,3.828641396489095,2.0
leste,7.523481312573497,3.9318256327243257,2.0
oeste,8.665785595466064,5.181783550292085,3.0
norte,8.160803920954665,4.343805421853684,2.0
leste,8.517393171418904,4.663439094112067,3.0
oeste,7.8636512654486515,4.07753744390572,2.0
leste,6.68586094706836,3.7612001156935624,2.0
sul,8.77971129020447,4.709530201312334,3.0
oeste,8.81001204797317,4.634728988229636,2.0
sul,7.741099090035366,4.2626798770413155,1.0
oeste,8.77971129020447,5.384495062789089,3.0
sul,8.055475141757274,4.276666119016055,2.0
sul,8.343077871169383,4.394449154672439,3.0
oeste,7.601402334583733,4.204692619390966,3.0
oeste,7.696667081526462,4.394449154672439,2.0
leste,9.23024103368252,4.418840607796598,1.0
oeste,7.901377353792616,3.6109179126442243,1.0
leste,7.650168700845001,4.060443010546419,2.0
norte,7.550135342488429,3.9318256327243257,2.0
sul,8.748463629942055,4.465908118654584,3.0
oeste,7.824445930877619,3.8066624897703196,1.0
norte,7.650168700845001,4.07753744390572,2.0
leste,7.313886831633462,3.9318256327243257,2.0
norte,7.934155233536322,4.189654742026425,2.0
leste,8.412054873292933,4.532599493153256,3.0
sul,7.650168700845001,4.1588830833596715,2.0
norte,7.170888478512505,3.8918202981106265,2.0
leste,8.006700845440367,4.709530201312334,3.0
leste,8.216358332386156,4.31748811353631,2.0
leste,7.496097345175956,4.189654742026425,2.0
leste,7.824445930877619,4.51085950651685,3.0
norte,7.170888478512505,3.8918202981106265,2.0
norte,7.170888478512505,3.6888794541139363,1.0
oeste,7.783640596221253,4.9344739331306915,3.0
oeste,8.594339400592892,4.343805421853684,2.0
leste,7.0909098220799835,3.367295829986474,1.0
oeste,7.3783837129967145,4.110873864173311,2.0
leste,7.00850518208228,3.8918202981106265,2.0
norte,7.208600337960199,4.007333185232471,2.0
norte,7.937731775260109,4.394449154672439,4.0
norte,7.496097345175956,4.2626798770413155,3.0
leste,7.741099090035366,4.2626798770413155,2.0
sul,7.8636512654486515,4.007333185232471,2.0
oeste,8.612685172875459,4.762173934797756,3.0
norte,8.517393171418904,5.4638318050256105,4.0
leste,7.3783837129967145,3.8918202981106265,2.0
oeste,7.650168700845001,3.6635616461296463,1.0
oeste,8.476579508530941,4.1588830833596715,1.0
norte,7.313886831633462,3.7376696182833684,2.0
leste,7.0909098220799835,3.8712010109078907,2.0
leste,7.170888478512505,3.828641396489095,1.0
norte,7.409136443920128,3.9318256327243257,2.0
sul,8.294299608857235,3.58351893845611,1.0
sul,8.434028950155469,4.454347296253507,2.0
norte,7.43307534889858,4.110873864173311,2.0
sul,7.601402334583733,4.07753744390572,2.0
leste,7.989899374942939,4.477336814478207,3.0
leste,7.00397413672268,3.9318256327243257,2.0
oeste,7.601402334583733,3.9318256327243257,2.0
norte,8.412054873292933,4.2626798770413155,2.0
norte,7.208600337960199,4.07753744390572,2.0
sul,7.650168700845001,4.110873864173311,2.0
leste,7.170888478512505,3.4339872044851463,2.0
sul,7.989899374942939,4.02535169073515,0.0
sul,7.972810784121404,3.713572066704308,1.0
norte,8.160803920954665,4.477336814478207,3.0
leste,7.937731775260109,4.110873864173311,2.0
oeste,8.294299608857235,4.663439094112067,3.0
norte,7.00397413672268,3.58351893845611,1.0
oeste,7.438971592395862,4.02535169073515,2.0
oeste,7.496097345175956,3.8918202981106265,1.0
sul,8.03947991910045,4.2626798770413155,2.0
leste,8.071218539969863,4.290459441148391,3.0
norte,7.00397413672268,4.02535169073515,2.0
leste,8.101980731853192,4.356708826689592,2.0
norte,7.496097345175956,3.9318256327243257,2.0
leste,7.00397413672268,3.8066624897703196,2.0
leste,7.0909098220799835,3.828641396489095,2.0
sul,8.556606193773073,5.153291594497779,3.0
norte,7.170888478512505,3.6888794541139363,1.0
oeste,7.937731775260109,3.6635616461296463,1.0
leste,7.550135342488429,4.248495242049359,3.0
sul,8.101980731853192,3.8066624897703196,1.0
leste,7.346655163176539,4.110873864173311,2.0
leste,6.311734809152915,3.4339872044851463,1.0
norte,8.294299608857235,4.430816798843313,2.0
sul,7.824445930877619,3.713572066704308,1.0
sul,8.699681400989514,4.709530201312334,3.0
norte,7.244941546337007,3.9318256327243257,1.0
norte,7.313886831633462,4.3694478524670215,3.0
leste,8.294299608857235,3.9512437185814275,1.0
leste,7.0909098220799835,3.828641396489095,2.0
sul,8.486940148245216,4.356708826689592,2.0
oeste,8.366602832783736,4.394449154672439,3.0
leste,7.00397413672268,4.04305126783455,2.0
norte,7.496097345175956,3.8918202981106265,2.0
norte,7.244941546337007,3.970291913552122,2.0
oeste,7.550135342488429,4.290459441148391,3.0
oeste,8.006700845440367,4.709530201312334,3.0
norte,7.601402334583733,4.189654742026425,2.0
leste,7.762596048540069,4.110873864173311,2.0
oeste,7.696667081526462,3.6635616461296463,1.0
oeste,7.696667081526462,4.553876891600541,1.0
leste,7.244941546337007,3.8501476017100584,1.0
sul,7.3783837129967145,3.6635616461296463,1.0
sul,7.937731775260109,3.8918202981106265,1.0
sul,8.815963560853438,4.948759890378168,3.0
sul,8.837971491357209,4.762173934797756,3.0
sul,10.043292972227004,5.303304908059076,3.0
oeste,8.77971129020447,4.394449154672439,2.0
norte,8.507344855361422,4.219507705176107,2.0
sul,8.94910546953925,5.241747015059643,3.0
sul,9.210440366976517,5.6240175061873385,4.0
norte,7.170888478512505,3.6888794541139363,1.0
norte,7.640603826393634,4.07753744390572,2.0
oeste,7.601402334583733,4.110873864173311,1.0
leste,7.650168700845001,4.07753744390572,2.0
oeste,7.783640596221253,4.343805421853684,3.0
oeste,8.071218539969863,3.5553480614894135,1.0
oeste,7.901377353792616,3.5553480614894135,1.0
oeste,8.24301946898925,4.61512051684126,3.0
oeste,7.824445930877619,4.110873864173311,1.0
norte,7.170888478512505,3.6888794541139363,1.0
oeste,7.919719760924575,4.430816798843313,2.0
sul,9.050640993218508,4.060443010546419,0.0
oeste,7.972810784121404,4.110873864173311,2.0
norte,7.0909098220799835,4.07753744390572,2.0
norte,7.496097345175956,3.6109179126442243,1.0
sul,7.824445930877619,4.51085950651685,2.0
sul,8.31898612539206,4.787491742782046,1.0
norte,7.208600337960199,3.9318256327243257,2.0
leste,7.208600337960199,3.8066624897703196,2.0
norte,7.824445930877619,4.553876891600541,3.0
leste,8.77971129020447,6.20050917404269,4.0
sul,9.210440366976517,4.804021044733257,1.0
norte,7.313886831633462,4.31748811353631,2.0
oeste,7.438971592395862,4.3694478524670215,3.0
norte,7.409136443920128,4.110873864173311,2.0
norte,7.170888478512505,3.6888794541139363,1.0
norte,8.294299608857235,4.110873864173311,1.0
sul,8.94910546953925,5.241747015059643,3.0
norte,7.3783837129967145,4.477336814478207,3.0
oeste,8.732465848349879,5.181783550292085,3.0
leste,7.170888478512505,4.110873864173311,2.0
norte,7.490529402060711,4.110873864173311,2.0
sul,7.3783837129967145,3.5553480614894135,1.0
norte,7.989899374942939,4.304065093204169,2.0
leste,7.496097345175956,4.2626798770413155,2.0
norte,7.824445930877619,4.51085950651685,0.0
sul,9.532423871145296,4.663439094112067,2.0
norte,7.237778191923443,4.02535169073515,2.0
norte,8.400884069015854,5.53338948872752,3.0
oeste,7.901377353792616,4.663439094112067,3.0
leste,7.0909098220799835,4.110873864173311,2.0
sul,7.937731775260109,3.4339872044851463,1.0
sul,8.612685172875459,5.4510384535657,3.0
norte,6.803505257608338,3.9889840465642745,1.0
norte,7.824445930877619,4.23410650459726,3.0
sul,8.343077871169383,4.02535169073515,1.0
leste,7.696667081526462,4.31748811353631,2.0
leste,8.268988209506656,3.970291913552122,1.0
sul,9.90353755128617,5.117993812416755,3.0
norte,7.313886831633462,4.248495242049359,2.0
norte,7.313886831633462,3.58351893845611,2.0
norte,6.90875477931522,3.828641396489095,2.0
oeste,8.294299608857235,4.2626798770413155,2.0
oeste,7.67368812926773,3.9318256327243257,1.0
sul,8.517393171418904,5.049856007249537,3.0
oeste,7.901377353792616,4.51085950651685,2.0
oeste,7.438971592395862,4.02535169073515,1.0
norte,8.922791623969637,5.303304908059076,4.0
sul,9.61587214452889,5.3981627015177525,3.0
norte,7.550135342488429,4.61512051684126,2.0
sul,9.61587214452889,5.572154032177765,4.0
norte,7.244941546337007,3.9318256327243257,2.0
leste,6.85751406254539,3.58351893845611,1.0
oeste,7.170888478512505,4.143134726391533,3.0
sul,10.043292972227004,5.351858133476067,3.0
leste,7.0909098220799835,3.6635616461296463,0.0
sul,9.350189267092581,4.653960350157523,2.0
sul,7.696667081526462,4.543294782270004,2.0
sul,8.214465160759186,3.367295829986474,1.0
oeste,7.490529402060711,4.174387269895637,2.0
oeste,8.294299608857235,5.25227342804663,3.0
leste,7.313886831633462,3.9318256327243257,2.0
oeste,9.99884318585288,5.645446897643238,4.0
sul,7.937731775260109,4.584967478670572,3.0
norte,7.0909098220799835,3.713572066704308,2.0
oeste,8.476579508530941,4.3694478524670215,2.0
oeste,7.3783837129967145,4.110873864173311,2.0
