zonas,precos,area,quarto
leste,8.412054873292933,5.198497031265826,3.0
oeste,8.412054873292933,4.875197323201151,3.0
norte,7.170888478512505,3.5553480614894135,2.0
oeste,8.131824785007195,4.330733340286331,2.0
oeste,8.006700845440367,4.564348191467836,3.0
leste,7.783640596221253,4.330733340286331,3.0
leste,7.601402334583733,4.0943445622221,2.0
norte,7.313886831633462,4.31748811353631,2.0
leste,7.824445930877619,4.02535169073515,2.0
norte,7.244941546337007,3.8918202981106265,2.0
norte,7.170888478512505,3.784189633918261,2.0
norte,7.438971592395862,4.02535169073515,2.0
sul,8.101980731853192,4.290459441148391,2.0
leste,7.3783837129967145,3.6888794541139363,1.0
sul,7.696667081526462,4.477336814478207,2.0
sul,6.90875477931522,3.9318256327243257,2.0
oeste,8.45553053102413,4.060443010546419,1.0
oeste,8.006700845440367,4.465908118654584,2.0
leste,8.006700845440367,4.143134726391533,2.0
oeste,7.955425088912672,4.454347296253507,2.0
sul,7.00397413672268,3.58351893845611,1.0
sul,7.741099090035366,4.2626798770413155,3.0
norte,7.170888478512505,3.6888794541139363,1.0
oeste,8.24301946898925,4.290459441148391,2.0
sul,9.210440366976517,5.209486152841421,4.0
oeste,8.294299608857235,4.394449154672439,3.0
sul,7.824445930877619,4.394449154672439,2.0
oeste,9.105090961257085,4.59511985013459,2.0
leste,8.160803920954665,4.2626798770413155,2.0
leste,7.3783837129967145,4.143134726391533,2.0
oeste,8.630700432209832,5.37989735354046,3.0
oeste,9.350189267092581,5.017279836814924,2.0
oeste,8.160803920954665,3.9318256327243257,1.0
sul,12.07254696717504,3.713572066704308,1.0
leste,7.3783837129967145,4.110873864173311,2.0
leste,7.00397413672268,3.9318256327243257,2.0
norte,7.244941546337007,3.713572066704308,1.0
sul,7.8636512654486515,4.02535169073515,2.0
sul,9.296609807128359,4.653960350157523,1.0
sul,8.853808274977197,4.276666119016055,2.0
norte,7.3783837129967145,4.31748811353631,2.0
oeste,7.696667081526462,4.02535169073515,2.0
sul,8.612685172875459,5.062595033026967,3.0
oeste,7.919719760924575,4.477336814478207,2.0
