zonas_leste,zonas_norte,zonas_oeste,zonas_sul,precos,area,quarto
0,1,0,0,8.268988209506656,4.290459441148391,1.3862943611198906
0,0,1,0,7.824445930877619,4.2626798770413155,1.0986122886681096
0,1,0,0,7.601402334583733,4.51085950651685,1.3862943611198906
1,0,0,0,7.696667081526462,4.110873864173311,1.0986122886681096
0,1,0,0,7.00397413672268,4.02535169073515,1.0986122886681096
0,0,1,0,7.919719760924575,4.477336814478207,1.0986122886681096
0,1,0,0,7.409136443920128,4.0943445622221,1.0986122886681096
0,0,0,1,7.824445930877619,4.189654742026425,1.0986122886681096
1,0,0,0,7.3783837129967145,4.143134726391533,1.0986122886681096
0,0,1,0,7.170888478512505,3.912023005428146,0.6931471805599453
0,1,0,0,7.359467638255621,4.02535169073515,1.0986122886681096
1,0,0,0,8.006700845440367,4.143134726391533,1.0986122886681096
0,0,1,0,8.602453035367061,3.5553480614894135,0.6931471805599453
0,0,1,0,8.160803920954665,3.9318256327243257,0.6931471805599453
0,0,1,0,8.160803920954665,3.9512437185814275,0.6931471805599453
0,1,0,0,6.985641817639208,3.6635616461296463,0.6931471805599453
1,0,0,0,8.160803920954665,4.2626798770413155,1.0986122886681096
0,1,0,0,7.532088143541722,4.060443010546419,1.0986122886681096
0,0,0,1,8.612685172875459,4.61512051684126,1.3862943611198906
0,0,1,0,8.160803920954665,3.258096538021482,0.6931471805599453
0,0,0,1,7.824445930877619,4.61512051684126,1.3862943611198906
0,1,0,0,8.699681400989514,5.384495062789089,1.6094379124341003
0,0,0,1,7.0909098220799835,3.828641396489095,1.0986122886681096
0,1,0,0,7.313886831633462,4.248495242049359,1.0986122886681096
0,1,0,0,7.00397413672268,3.9318256327243257,1.0986122886681096
1,0,0,0,7.496097345175956,4.290459441148391,1.3862943611198906
1,0,0,0,7.1316985104669115,4.02535169073515,1.0986122886681096
0,0,1,0,7.937731775260109,4.465908118654584,1.0986122886681096
1,0,0,0,7.601402334583733,4.0943445622221,1.0986122886681096
0,0,1,0,7.901377353792616,4.394449154672439,1.3862943611198906
0,0,0,1,8.160803920954665,4.330733340286331,1.0986122886681096
0,1,0,0,7.313886831633462,3.8918202981106265,1.0986122886681096
0,1,0,0,8.071218539969863,4.127134385045092,1.0986122886681096
0,1,0,0,7.244941546337007,3.713572066704308,0.6931471805599453
0,1,0,0,7.490529402060711,4.2626798770413155,1.0986122886681096
0,1,0,0,8.268988209506656,5.017279836814924,1.0986122886681096
0,0,1,0,8.612685172875459,4.330733340286331,0.6931471805599453
0,0,1,0,7.783640596221253,4.330733340286331,1.3862943611198906
0,1,0,0,7.00397413672268,4.02535169073515,1.0986122886681096
0,1,0,0,7.170888478512505,3.6888794541139363,0.6931471805599453
1,0,0,0,7.783640596221253,4.330733340286331,1.3862943611198906
1,0,0,0,7.208600337960199,4.189654742026425,1.0986122886681096
1,0,0,0,7.3783837129967145,3.713572066704308,1.0986122886681096
0,1,0,0,7.00397413672268,3.9318256327243257,1.0986122886681096
0,1,0,0,6.2166061010848646,3.58351893845611,0.6931471805599453
0,0,1,0,8.09132127353041,3.4657359027997265,0.6931471805599453
0,0,1,0,7.438971592395862,4.2626798770413155,1.0986122886681096
1,0,0,0,7.313886831633462,3.9318256327243257,1.3862943611198906
1,0,0,0,7.484930283289661,4.007333185232471,1.0986122886681096
0,0,1,0,8.77971129020447,4.394449154672439,1.0986122886681096
0,0,1,0,7.550135342488429,3.6375861597263857,0.6931471805599453
1,0,0,0,7.00850518208228,4.04305126783455,1.0986122886681096
0,0,1,0,8.006700845440367,4.394449154672439,1.0986122886681096
0,0,0,1,7.496097345175956,3.970291913552122,1.0986122886681096
0,0,0,1,7.496097345175956,4.418840607796598,1.0986122886681096
0,0,0,1,8.412054873292933,4.532599493153256,1.0986122886681096
0,0,0,1,8.000014093678072,4.442651256490317,1.3862943611198906
0,0,1,0,9.350189267092581,5.017279836814924,1.0986122886681096
0,0,1,0,7.955425088912672,4.454347296253507,1.0986122886681096
0,0,1,0,7.696667081526462,4.110873864173311,1.0986122886681096
0,0,1,0,8.987321812850125,4.23410650459726,1.0986122886681096
0,1,0,0,7.601402334583733,4.382026634673881,1.0986122886681096
0,0,0,1,7.8636512654486515,4.02535169073515,1.0986122886681096
1,0,0,0,7.3783837129967145,3.6888794541139363,0.6931471805599453
0,0,1,0,7.804251383528112,4.394449154672439,1.0986122886681096
0,0,1,0,7.8636512654486515,4.709530201312334,1.3862943611198906
0,0,1,0,6.68586094706836,3.044522437723423,0.6931471805599453
0,0,0,1,7.696667081526462,3.970291913552122,1.0986122886681096
0,0,0,1,8.412054873292933,4.343805421853684,1.0986122886681096
1,0,0,0,7.3783837129967145,4.110873864173311,1.0986122886681096
0,0,0,1,8.922791623969637,5.14166355650266,1.3862943611198906
0,0,1,0,7.824445930877619,3.8066624897703196,0.6931471805599453
0,1,0,0,7.824445930877619,3.828641396489095,0.6931471805599453
0,0,0,1,8.612685172875459,5.062595033026967,1.3862943611198906
0,0,1,0,7.170888478512505,3.784189633918261,1.0986122886681096
0,0,1,0,7.409136443920128,3.7612001156935624,0.6931471805599453
0,0,1,0,7.601402334583733,4.060443010546419,1.0986122886681096
0,0,1,0,8.412054873292933,4.875197323201151,1.3862943611198906
0,1,0,0,7.601402334583733,3.713572066704308,1.0986122886681096
0,0,1,0,8.476579508530941,4.382026634673881,1.0986122886681096
0,1,0,0,7.170888478512505,3.6888794541139363,0.6931471805599453
0,1,0,0,8.03947991910045,4.465908118654584,1.3862943611198906
0,0,1,0,7.741099090035366,3.970291913552122,1.0986122886681096
1,0,0,0,8.45553053102413,5.6240175061873385,1.3862943611198906
0,1,0,0,8.517393171418904,4.897839799950911,1.3862943611198906
0,0,1,0,7.8636512654486515,4.442651256490317,1.3862943611198906
0,0,0,1,7.8636512654486515,3.5553480614894135,0.6931471805599453
0,1,0,0,7.00397413672268,3.9512437185814275,1.0986122886681096
0,0,0,1,7.741099090035366,4.2626798770413155,1.3862943611198906
0,1,0,0,8.268988209506656,4.394449154672439,1.3862943611198906
0,0,0,1,7.696667081526462,3.6635616461296463,0.6931471805599453
1,0,0,0,6.90875477931522,3.8066624897703196,1.0986122886681096
0,0,0,1,7.824445930877619,3.9318256327243257,1.0986122886681096
